code,name,description,group,time_limit,memory_limit,points,types,authors,curators,testers,allowed_languages,is_public,partial,short_circuit,is_manually_managed,license,og_image,summary,banned_users,organizations,is_organization_private,enable_waveform,enable_ppa,ppa_maximum_fmax,f4pga_board,f4pga_target_fmax,openlane_pdk,openlane_ppa_score,openlane_critical_path_ns,openlane_core_area_um2,openlane_power_total,solution_content,solution_is_public,solution_authors,translation_en_name,translation_en_description,translation_zh_hant_name,translation_zh_hant_description,clarifications,language_limits,is_full_markup
uva10010,[NUKC]uva_10010,"![](https://raw.githubusercontent.com/Fenghsuisme/CPE_onestar_problem_image/main/images/10010/10010_p1.png)

![](https://raw.githubusercontent.com/Fenghsuisme/CPE_onestar_problem_image/main/images/10010/10010_p2.png)


### Sample Input
```text

```

### Sample Output
```text

```",NUK,3,262144,1,CPP,"Feng,A1115514,Ting",,,"C,C11,Clang,Clang++,CPP03,CPP11,CPP14,CPP17,CPP20",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
uva10018,[NUKC]uva_10018,"![](https://raw.githubusercontent.com/Fenghsuisme/CPE_onestar_problem_image/main/images/10018/10018_p1.png)

![](https://raw.githubusercontent.com/Fenghsuisme/CPE_onestar_problem_image/main/images/10018/10018_p2.png)


### Sample Input
```text

```

### Sample Output
```text

```",NUK,3,262144,1,CPP,"Feng,A1115514,Ting",,,"C,C11,Clang,Clang++,CPP03,CPP11,CPP14,CPP17,CPP20",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
uva10098,[NUKC]uva_10098,"![](https://raw.githubusercontent.com/Fenghsuisme/CPE_onestar_problem_image/main/images/10098/10098_p1.png)


### Sample Input
```text

```

### Sample Output
```text

```",NUK,3,262144,1,CPP,"Feng,A1115514,Ting",,,"C,C11,Clang,Clang++,CPP03,CPP11,CPP14,CPP17,CPP20",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
uva10161,[NUKC]uva_10161,"![](https://raw.githubusercontent.com/Fenghsuisme/CPE_onestar_problem_image/main/images/10161/10161_p1.png)


### Sample Input
```text

```

### Sample Output
```text

```",NUK,3,262144,1,CPP,"Feng,A1115514,Ting",,,"C,C11,Clang,Clang++,CPP03,CPP11,CPP14,CPP17,CPP20",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
uva10258,[NUKC]uva_10258,"![](https://raw.githubusercontent.com/Fenghsuisme/CPE_onestar_problem_image/main/images/10258/10258_p1.png)


### Sample Input
```text

```

### Sample Output
```text

```",NUK,3,262144,1,CPP,"Feng,A1115514,Ting",,,"C,C11,Clang,Clang++,CPP03,CPP11,CPP14,CPP17,CPP20",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
uva10327,[NUKC]uva_10327,"![](https://raw.githubusercontent.com/Fenghsuisme/CPE_onestar_problem_image/main/images/10327/10327_p1.png)


### Sample Input
```text

```

### Sample Output
```text

```",NUK,3,262144,1,CPP,"Feng,A1115514,Ting",,,"C,C11,Clang,Clang++,CPP03,CPP11,CPP14,CPP17,CPP20",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
uva10365,[NUKC]uva_10365,"![](https://raw.githubusercontent.com/Fenghsuisme/CPE_onestar_problem_image/main/images/10365/10365_p1.png)


### Sample Input
```text

```

### Sample Output
```text

```",NUK,3,262144,1,CPP,"Feng,A1115514,Ting",,,"C,C11,Clang,Clang++,CPP03,CPP11,CPP14,CPP17,CPP20",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
uva10699,[NUKC]uva_10699,"![](https://raw.githubusercontent.com/Fenghsuisme/CPE_onestar_problem_image/main/images/10699/10699_p1.png)


### Sample Input
```text

```

### Sample Output
```text

```",NUK,3,262144,1,CPP,"Feng,A1115514,Ting",,,"C,C11,Clang,Clang++,CPP03,CPP11,CPP14,CPP17,CPP20",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
uva10730,[NUKC]uva_10730,"![](https://raw.githubusercontent.com/Fenghsuisme/CPE_onestar_problem_image/main/images/10730/10730_p1.png)


### Sample Input
```text

```

### Sample Output
```text

```",NUK,3,262144,1,CPP,"Feng,A1115514,Ting",,,"C,C11,Clang,Clang++,CPP03,CPP11,CPP14,CPP17,CPP20",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
uva10800,[NUKC]uva_10800,"![](https://raw.githubusercontent.com/Fenghsuisme/CPE_onestar_problem_image/main/images/10800/10800_p1.png)


### Sample Input
```text

```

### Sample Output
```text

```",NUK,3,262144,1,CPP,"Feng,A1115514,Ting",,,"C,C11,Clang,Clang++,CPP03,CPP11,CPP14,CPP17,CPP20",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
